PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Zhao, JF; Xu, JW; Xie, XM; Lu, HQ				Zhao, Junfang; Xu, Jingwen; Xie, Xingmei; Lu, Houquan			Drought monitoring based on TIGGE and distributed hydrological model in Huaihe River Basin, China	SCIENCE OF THE TOTAL ENVIRONMENT																													0048-9697	1879-1026				MAY 15	2016	553						358	365		10.1016/j.scitotenv.2016.02.115							WOS:000373220700038	26930309					
J	Lv, MX; Hao, ZC; Lin, ZH; Ma, ZG; Lv, MZ; Wang, JH				Lv, Meixia; Hao, Zhenchun; Lin, Zhaohui; Ma, Zhuguo; Lv, Meizhao; Wang, Jiahu			RESERVOIR OPERATION WITH FEEDBACK IN A COUPLED LAND SURFACE AND HYDROLOGIC MODEL: A CASE STUDY OF THE HUAI RIVER BASIN, CHINA	JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION																LIN, Zhaohui/E-9358-2011													1093-474X	1752-1688				FEB	2016	52	1					168	183		10.1111/1752-1688.12375							WOS:000369999100011						
J	Wang, J; Liang, ZM; Wang, D; Liu, T; Yang, J				Wang, Jun; Liang, Zhongmin; Wang, Dong; Liu, Tian; Yang, Jing			Impact of Climate Change on Hydrologic Extremes in the Upper Basin of the Yellow River Basin of China	ADVANCES IN METEOROLOGY																													1687-9309	1687-9317					2016	2016								1404290	10.1155/2016/1404290							WOS:000377909700001						
J	Awan, UK; Liaqat, UW; Choi, M; Ismaeel, A				Awan, Usman Khalid; Liaqat, Umar Waqas; Choi, Minha; Ismaeel, Ali			A SWAT modeling approach to assess the impact of climate change on consumptive water use in Lower Chenab Canal area of Indus basin	HYDROLOGY RESEARCH																Liaqat, Umar W/M-1613-2015	Liaqat, Umar W/0000-0001-9027-5232; Awan, Usman Khalid/0000-0001-8663-5688												0029-1277	2224-7955					2016	47	5					1025	1037		10.2166/nh.2016.102							WOS:000385992900009						
J	Leng, GY; Tang, QH; Huang, MY; Hong, Y; Ruby, LL				Leng GuoYong; Tang QiuHong; Huang MaoYi; Hong Yang; Ruby, Leung L.			Projected changes in mean and interannual variability of surface water over continental China	SCIENCE CHINA-EARTH SCIENCES																Hong, Yang/D-5132-2009; Huang, Maoyi/I-8599-2012	Hong, Yang/0000-0001-8720-242X; Huang, Maoyi/0000-0001-9154-9485; Tang, Qiuhong/0000-0002-0886-6699; Leng, Guoyong/0000-0001-6345-143X												1674-7313	1869-1897				MAY	2015	58	5					739	754		10.1007/s11430-014-4987-0							WOS:000353882500008						
J	Xu, YP; Gao, XC; Zhu, Q; Zhang, YQ; Kang, LL				Xu, Yue-Ping; Gao, Xichao; Zhu, Qian; Zhang, Yongqiang; Kang, Lili			Coupling a Regional Climate Model and a Distributed Hydrological Model to Assess Future Water Resources in Jinhua River Basin, East China	JOURNAL OF HYDROLOGIC ENGINEERING																Xu, Yueping/C-2934-2014	Zhu, Qian/0000-0002-2646-2604												1084-0699	1943-5584				APR	2015	20	4							04014054	10.1061/(ASCE)HE.1943-5584.0001007							WOS:000351458000003						
J	Gu, HH; Yu, ZB; Wang, GL; Wang, JG; Ju, Q; Yang, CG; Fan, CH				Gu, Huanghe; Yu, Zhongbo; Wang, Guiling; Wang, Jigan; Ju, Qin; Yang, Chuanguo; Fan, Chuanhao			Impact of climate change on hydrological extremes in the Yangtze River Basin, China	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT																Gu, Huanghe/AAE-4178-2019	Gu, Huanghe/0000-0002-7766-5700												1436-3240	1436-3259				MAR	2015	29	3					693	707		10.1007/s00477-014-0957-5							WOS:000348930500006						
J	Wang, L; van Gelder, PHAJM; Vrijling, J; Maskey, S; Ranasinghe, R				Wang, L.; van Gelder, P. H. A. J. M.; Vrijling, J. K.; Maskey, S.; Ranasinghe, R.			Risk-Averse Economic Optimization in the Adaptation of River Dikes to Climate Change	WATER RESOURCES MANAGEMENT																Maskey, Shreedhar/AAD-1989-2019; Ranasinghe, Roshanka/C-6711-2009; van Gelder, Pieter/D-5834-2014; Maskey, Shreedhar/H-3467-2011	van Gelder, Pieter/0000-0002-0001-0351; Maskey, Shreedhar/0000-0002-3259-5374; Ranasinghe, Roshanka/0000-0001-6234-2063												0920-4741	1573-1650				JAN	2015	29	2			SI		359	377		10.1007/s11269-014-0814-9							WOS:000347410000010						
J	Ma, F; Ye, AZ; Gong, W; Mao, YN; Miao, CY; Di, ZH				Ma, Feng; Ye, Aizhong; Gong, Wei; Mao, Yuna; Miao, Chiyuan; Di, Zhenhua			An estimate of human and natural contributions to flood changes of the Huai River	GLOBAL AND PLANETARY CHANGE																Miao, Chiyuan/E-6036-2011	Miao, Chiyuan/0000-0001-6413-7020; Gong, Wei/0000-0003-3622-7090; ye, aizhong/0000-0002-5272-134X												0921-8181	1872-6364				AUG	2014	119						39	50		10.1016/j.gloplacha.2014.05.003							WOS:000338978900003						
J	Zhang, XY; Cong, ZT				Zhang, Xiaoying; Cong, Zhentao			Trends of precipitation intensity and frequency in hydrological regions of China from 1956 to 2005	GLOBAL AND PLANETARY CHANGE																													0921-8181	1872-6364				JUN	2014	117						40	51		10.1016/j.gloplacha.2014.03.002							WOS:000336709400004						
