PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Heydari, Mohammad Hossein; Avazzadeh, Zakieh					Heydari, Mohammad Hossein/0000-0002-2169-9485			Legendre wavelets optimization method for variable-order fractional Poisson equation								CHAOS SOLITONS & FRACTALS				112				180	190		10.1016/j.chaos.2018.04.028				JUL 2018	2018										25	0	0	0	0	0	25			0960-0779	1873-2887		WOS:000434463100021		
J	Wei, Song; Chen, Wen; Zhang, Yong; Wei, Hui; Garrard, Rhiannon M.								A local radial basis function collocation method to solve the variable-order time fractional diffusion equation in a two-dimensional irregular domain								NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS				34	4			1209	1223		10.1002/num.22253				JUL 2018	2018										12	0	0	0	0	0	12			0749-159X	1098-2426		WOS:000430677500005		
J	Bai, Yunru; Baleanu, Dumitru; Wu, Guo-Cheng				Baleanu, Dumitru/B-9936-2012; Wu, Guo-Cheng/T-9088-2017	Baleanu, Dumitru/0000-0002-0286-7244; Wu, Guo-Cheng/0000-0002-1946-6770			Existence and discrete approximation for optimization problems governed by fractional differential equations								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				59				338	348		10.1016/j.cnsns.2017.11.009				JUN 2018	2018										10	0	0	0	0	1	10			1007-5704	1878-7274		WOS:000425327800025		
J	Tenreiro Machado, Jose Antonio; Moghaddam, Behrouz Parsa				Moghaddam, Behrouz Parsa/J-1851-2018	Moghaddam, Behrouz Parsa/0000-0003-4957-9028			A Robust Algorithm for Nonlinear Variable-Order Fractional Control Systems with Delay								INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION				19	3-4			231	238		10.1515/ijnsns-2016-0094				JUN 2018	2018										21	0	0	0	0	0	21			1565-1339	2191-0294		WOS:000436174200001		
J	Song, Xiaona; Song, Shuai; Li, Bo; Balsera, Ines Tejado				Tejado, Ines/H-5285-2015	Tejado, Ines/0000-0001-5542-348X			Adaptive projective synchronization for time-delayed fractional-order neural networks with uncertain parameters and its application in secure communications								TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL				40	10			3078	3087		10.1177/0142331217714523				JUN 2018	2018										9	0	0	0	0	0	9			0142-3312	1477-0369		WOS:000436074800011		
J	Agila, Adel; Baleanu, Dumitru; Eid, Rajeh; Irfanoglu, Bulent				Baleanu, Dumitru/B-9936-2012	Baleanu, Dumitru/0000-0002-0286-7244			A freely damped oscillating fractional dynamic system modeled by fractional Euler-Lagrange equations								JOURNAL OF VIBRATION AND CONTROL				24	7			1228	1238		10.1177/1077546316685228				APR 2018	2018										6	0	0	0	0	0	6			1077-5463	1741-2986		WOS:000429889300002		
J	Zhang, Shuqin					Zhang, Shuqin/0000-0001-6656-4464			The uniqueness result of solutions to initial value problems of differential equations of variable-order								REVISTA DE LA REAL ACADEMIA DE CIENCIAS EXACTAS FISICAS Y NATURALES SERIE A-MATEMATICAS				112	2			407	423		10.1007/s13398-017-0389-4				APR 2018	2018										8	1	0	0	0	0	9			1578-7303	1579-1505		WOS:000427609700009		
J	Xu, Tao; Lu, Shujuan; Chen, Wenping; Chen, Hu					Chen, Hu/0000-0003-3297-2747			Finite difference scheme for multi-term variable-order fractional diffusion equation								ADVANCES IN DIFFERENCE EQUATIONS										103	10.1186/s13662-018-1544-8				MAR 22 2018	2018										3	0	0	0	0	0	3			1687-1847			WOS:000428472500004		
J	Al-Mdallal, Qasem M.; Abu Omer, Ahmed S.								Fractional-order Legendre-collocation method for solving fractional initial value problems								APPLIED MATHEMATICS AND COMPUTATION				321				74	84		10.1016/j.amc.2017.10.012				MAR 15 2018	2018										23	0	0	0	1	0	23			0096-3003	1873-5649		WOS:000417521600054		
J	Sun, Yifei; Gao, Yufeng; Zhu, Qizhi				Zhu, Qizhi/E-4187-2017; Sun, Yifei/AAE-2293-2019; Zhu, Qizhi/AAN-3971-2020; Sun, Yifei/O-3092-2018	Zhu, Qizhi/0000-0003-2749-4998; Sun, Yifei/0000-0001-8135-1467; Zhu, Qizhi/0000-0003-2749-4998; Sun, Yifei/0000-0001-8135-1467			Fractional order plasticity modelling of state-dependent behaviour of granular soils without using plastic potential								INTERNATIONAL JOURNAL OF PLASTICITY				102				53	69		10.1016/j.ijplas.2017.12.001				MAR 2018	2018										30	1	0	0	0	0	30			0749-6419	1879-2154		WOS:000426022200004		
J	Zheng, Rumeng; Jiang, Xiaoyun; Zhang, Hui								L1 Fourier spectral methods for a class of generalized two-dimensional time fractional nonlinear anomalous diffusion equations								COMPUTERS & MATHEMATICS WITH APPLICATIONS				75	5			1515	1530		10.1016/j.camwa.2017.11.017				MAR 1 2018	2018										1	0	0	0	0	0	1			0898-1221	1873-7668		WOS:000428095400003		
J	Morales-Delgado, V. F.; Gomez-Aguilar, J. F.; Taneco-Hernandez, M. A.; Escobar-Jimenez, R. F.				Escobar-Jimenez, Ricardo/X-1721-2019; Aguilar, Jose Francisco Gomez/I-7027-2019; Taneco-Hernandez, Marco Antonio/O-4660-2018	Escobar-Jimenez, Ricardo/0000-0003-3367-6552; Aguilar, Jose Francisco Gomez/0000-0001-9403-3767; Taneco-Hernandez, Marco Antonio/0000-0001-6650-1105			A novel fractional derivative with variable- and constant-order applied to a mass-spring-damper system								EUROPEAN PHYSICAL JOURNAL PLUS				133	2					78	10.1140/epjp/i2018-11905-4				FEB 27 2018	2018										9	0	0	0	0	0	9			2190-5444			WOS:000426273000002		
J	Yin, Deshun; Qu, Pengfei								Variable-order fractional MSD function to describe the evolution of protein lateral diffusion ability in cell membranes								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				492				707	714		10.1016/j.physa.2017.10.030				FEB 15 2018	2018										5	0	0	0	0	0	5			0378-4371	1873-2119		WOS:000423495100055		
J	Quaife, Bryan; Coulier, Pieter; Darve, Eric					Darve, Eric/0000-0002-1938-3836			An efficient preconditioner for the fast simulation of a 2D stokes flow in porous media								INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING				113	4			561	580		10.1002/nme.5626				JAN 27 2018	2018										3	0	0	0	0	0	3			0029-5981	1097-0207		WOS:000419121800001		
J	Zhang, Shuo; Liu, Lu					Zhang, Shuo/0000-0002-2824-618X			Normalized Robust FOPID Controller Regulation Based on Small Gain Theorem								COMPLEXITY										5690630	10.1155/2018/5690630				2018	2018										2	0	0	0	0	0	2			1076-2787	1099-0526		WOS:000446721400001		
J	Kharazmi, Ehsan; Zayernouri, Mohsen								Fractional pseudo-spectral methods for distributed-order fractional PDEs								INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS				95	6-7	SI		1340	1361		10.1080/00207160.2017.1421949				2018	2018										13	0	0	0	0	0	13			0020-7160	1029-0265		WOS:000429600100017		
J	Zhang Shuqin; Hu Lei							张淑琴; 胡雷	Initial Value Problem for Nonlinear Fractional Differential Equations with Variable-order Derivative and a Parameter			含有变量阶导数及一个参数的非线性分数阶微分方程初值问题				数学物理学报. A辑	Acta Mathematica Scientia				38	2			291	303	1003-3998(2018)38:2<291:HYBLJD>2.0.TX;2-N					2018	2018										0	0	0		0	0	0			1003-3998			CSCD:6218918		
