PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Zhao, Xuan; Sun, Zhi-zhong; Karniadakis, George Em				Zhao, Xuan/M-7221-2016				Second-order approximations for variable order fractional derivatives: Algorithms and applications								JOURNAL OF COMPUTATIONAL PHYSICS				293		SI		184	200		10.1016/j.jcp.2014.08.015				JUL 15 2015	2015										98	5	0	0	0	0	101			0021-9991	1090-2716		WOS:000354119500016		
J	Zayernouri, Mohsen; Karniadakis, George Em								Fractional spectral collocation methods for linear and nonlinear variable order FPDEs								JOURNAL OF COMPUTATIONAL PHYSICS				293		SI		312	338		10.1016/j.jcp.2014.12.001				JUL 15 2015	2015										92	3	0	0	0	0	93			0021-9991	1090-2716		WOS:000354119500024		
J	Tavares, Dina; Almeida, Ricardo; Torres, Delfim F. M.				Almeida, Ricardo/Y-6214-2018; Torres, Delfim F. M./A-7682-2008	Almeida, Ricardo/0000-0002-1305-2411; Torres, Delfim F. M./0000-0001-8641-2505; Tavares, Dina/0000-0002-4938-0855			Optimality conditions for fractional variational problems with dependence on a combined Caputo derivative of variable order								OPTIMIZATION				64	6	SI		1381	1391		10.1080/02331934.2015.1010088				JUN 3 2015	2015										16	1	0	0	0	0	16			0233-1934	1029-4945		WOS:000351771400002		
J	Atangana, Abdon; Alkahtani, Badr Saad T.								Extension of the resistance, inductance, capacitance electrical circuit to fractional derivative without singular kernel								ADVANCES IN MECHANICAL ENGINEERING				7	6					1687814015591937	10.1177/1687814015591937				JUN 2015	2015										8	0	0	0	0	0	8			1687-8140			WOS:000360427700021		
J	Yu, Bo; Jiang, Xiaoyun; Qi, Haitao				Qi, Haitao/C-9509-2009	Qi, Haitao/0000-0001-9518-249X			An inverse problem to estimate an unknown order of a Riemann-Liouville fractional derivative for a fractional Stokes' first problem for a heated generalized second grade fluid								ACTA MECHANICA SINICA				31	2			153	161		10.1007/s10409-015-0408-7				APR 2015	2015										20	1	0	0	0	0	21			0567-7718	1614-3116		WOS:000355315900002		
J	Wu, Guo-Cheng; Baleanu, Dumitru; Zeng, Sheng-Da; Deng, Zhen-Guo				Wu, Guo-Cheng/T-9088-2017	Wu, Guo-Cheng/0000-0002-1946-6770			Discrete fractional diffusion equation								NONLINEAR DYNAMICS				80	1-2			281	286		10.1007/s11071-014-1867-2				APR 2015	2015										38	2	0	0	1	0	40			0924-090X	1573-269X		WOS:000352695100022		
J	Bhrawy, A. H.; Zaky, M. A.				Zaky, Mahmoud A./B-2797-2015; Bhrawy, Ali H./D-4745-2012	Zaky, Mahmoud A./0000-0002-3376-7238; Bhrawy, Ali H./0000-0002-9359-6151			Numerical simulation for two-dimensional variable-order fractional nonlinear cable equation								NONLINEAR DYNAMICS				80	1-2			101	116		10.1007/s11071-014-1854-7				APR 2015	2015										160	1	0	0	3	0	160			0924-090X	1573-269X		WOS:000352695100009		
J	Shen, S.; Liu, F.; Liu, Q.; Anh, V.				Anh, Vo V/I-9590-2012; Liu, Fawang/G-3456-2010	Anh, Vo V/0000-0003-2463-2099; Liu, Fawang/0000-0003-1034-2349			Numerical simulation of anomalous infiltration in porous media								NUMERICAL ALGORITHMS				68	3			443	454		10.1007/s11075-014-9853-9				MAR 2015	2015										13	1	0	0	0	0	13			1017-1398	1572-9265		WOS:000350343900001		
J	Liu, Lu; Pan, Feng; Xue, Dingyu								Variable-order fuzzy fractional PID controller								ISA TRANSACTIONS				55				227	233		10.1016/j.isatra.2014.09.012				MAR 2015	2015										40	3	0	0	1	0	43			0019-0578	1879-2022		WOS:000352678200022	25440947	
J	Pang Guofei; Chen Wen; Zhang Xiaodi; Sun Hongguang							庞国飞; 陈文; 张晓棣; 孙洪广	Fractional Differential Phenomenological Modeling for Diffusion and Dissipation Behaviors of Complex Media			复杂介质中扩散和耗散行为的分数阶导数唯象建模				应用数学和力学	Applied Mathematics and Mechanics				36	11			1117	1134	1000-0887(2015)36:11<1117:FZJZZK>2.0.TX;2-I					2015	2015										1	4	0		0	0	5			1000-0887			CSCD:5567068		
J	Sun Hongguang; Chang Ailian; Chen Wen; Zhang Yong							孙洪广; 常爱莲; 陈文; 张勇	Anomalous diffusion: fractional derivative equation models and applications in environmental flows			反常扩散:分数阶导数建模及其在环境流动中的应用				中国科学. 物理学, 力学, 天文学	Scientia Sinica Physica, Mechanica & Astronomica				45	10			104702	1-104702-15	1674-7275(2015)45:10<104702:FCKSFS>2.0.TX;2-A					2015	2015										0	0	0	0	0	0	0			1674-7275			CSCD:5526917		
J	Abdelkawy, M. A.; Zaky, M. A.; Bhrawy, A. H.; Baleanu, D.				Bhrawy, Ali H./D-4745-2012; Zaky, Mahmoud A./B-2797-2015	Bhrawy, Ali H./0000-0002-9359-6151; Zaky, Mahmoud A./0000-0002-3376-7238			NUMERICAL SIMULATION OF TIME VARIABLE FRACTIONAL ORDER MOBILE-IMMOBILE ADVECTION-DISPERSION MODEL								ROMANIAN REPORTS IN PHYSICS				67	3			773	791						2015	2015										80	0	0	0	1	0	79			1221-1451	1841-8759		WOS:000361856300004		
J	Gong, Chunye; Bao, Weimin; Tang, Guojian; Jiang, Yuewen; Liu, Jie								Computational Challenge of Fractional Differential Equations and the Potential Solutions: A Survey								MATHEMATICAL PROBLEMS IN ENGINEERING				2015						258265	10.1155/2015/258265				2015	2015										9	0	0	0	0	0	9			1024-123X	1563-5147		WOS:000353800100001		
J	Gang, Guo; Kun, Li; Wang Yuhui								Exact solutions of a modified fractional diffusion equation in the finite and semi-infinite domains								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				417				193	201		10.1016/j.physa.2014.09.050				JAN 1 2015	2015										6	0	0	0	0	0	6			0378-4371	1873-2119		WOS:000345721800020		
J	Liao, Hong-lin; Zhang, Ya-nan; Zhao, Ying; Shi, Han-sheng					Liao, Hong-lin/0000-0003-0777-6832			Stability and Convergence of Modified Du Fort-Frankel Schemes for Solving Time-Fractional Subdiffusion Equations								JOURNAL OF SCIENTIFIC COMPUTING				61	3			629	648		10.1007/s10915-014-9841-1				DEC 2014	2014										18	1	0	0	0	0	19			0885-7474	1573-7691		WOS:000343821300008		
J	Gao, Zhe								A graphic stability criterion for non-commensurate fractional-order time-delay systems								NONLINEAR DYNAMICS				78	3			2101	2111		10.1007/s11071-014-1580-1				NOV 2014	2014										16	0	0	0	0	0	16			0924-090X	1573-269X		WOS:000344174900039		
J	Zhang, H.; Liu, F.; Zhuang, P.; Turner, I.; Anh, V.				Liu, Fawang/G-3456-2010; Anh, Vo V/I-9590-2012	Liu, Fawang/0000-0003-1034-2349; Anh, Vo V/0000-0003-2463-2099; Turner, Ian/0000-0003-2794-3968			Numerical analysis of a new space-time variable fractional order advection-dispersion equation								APPLIED MATHEMATICS AND COMPUTATION				242				541	550		10.1016/j.amc.2014.06.003				SEP 1 2014	2014										44	1	0	0	0	0	44			0096-3003	1873-5649		WOS:000340563000048		
J	Zhao, Xuan; Xu, Qinwu				Zhao, Xuan/M-7221-2016				Efficient numerical schemes for fractional sub-diffusion equation with the spatially variable coefficient								APPLIED MATHEMATICAL MODELLING				38	15-16	SI		3848	3859		10.1016/j.apm.2013.10.037				AUG 1 2014	2014										39	0	0	0	0	0	39			0307-904X	1872-8480		WOS:000340693500013		
J	Chen, Yiming; Liu, Liqing; Li, Baofeng; Sun, Yannan								Numerical solution for the variable order linear cable equation with Bernstein polynomials								APPLIED MATHEMATICS AND COMPUTATION				238				329	341		10.1016/j.amc.2014.03.066				JUL 1 2014	2014										66	0	0	0	0	0	66			0096-3003	1873-5649		WOS:000336522400029		
J	Bhalekar, S.				Bhalekar, Sachin/N-7445-2019; Bhalekar, S. B./D-7628-2011	Bhalekar, Sachin/0000-0003-1981-8171; Bhalekar, S. B./0000-0003-1981-8171			Synchronization of incommensurate non-identical fractional order chaotic systems using active control								EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS				223	8			1495	1508		10.1140/epjst/e2014-02184-0				JUN 2014	2014										17	1	0	0	1	0	18			1951-6355	1951-6401		WOS:000338713300005		
J	Wang, Yan; Sun, Kehui; He, Shaobo; Wang, Huihai				Sun, Kehui/X-1386-2018; He, Shaobo/I-7273-2015				Dynamics of fractional-order sinusoidally forced simplified Lorenz system and its synchronization								EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS				223	8			1591	1600		10.1140/epjst/e2014-02181-3				JUN 2014	2014										20	0	0	0	4	0	20			1951-6355	1951-6401		WOS:000338713300013		
J	Tejado, Ines; Hassan HosseinNia, S.; Vinagre, Blas M.				HosseinNia, S Hassan/P-7587-2014; Tejado, Ines/H-5285-2015; Jara, Blas M B Vinagre/I-1843-2015	HosseinNia, S Hassan/0000-0002-7475-4628; Tejado, Ines/0000-0001-5542-348X; Jara, Blas M B Vinagre/0000-0001-5039-0738			Adaptive gain-order fractional control for network-based applications								FRACTIONAL CALCULUS AND APPLIED ANALYSIS				17	2			462	482		10.2478/s13540-014-0180-6				JUN 2014	2014										18	0	0	0	0	0	18			1311-0454	1314-2224		WOS:000333204100013		
J	Sun, HongGuang; Zhang, Yong; Chen, Wen; Reeves, Donald M.				Heisenberg, X/K-9096-2015; Sun, HongGuang/A-9385-2010	Sun, HongGuang/0000-0002-5517-5057			Use of a variable-index fractional-derivative model to capture transient dispersion in heterogeneous media								JOURNAL OF CONTAMINANT HYDROLOGY				157				47	58		10.1016/j.jconhyd.2013.11.002				FEB 2014	2014										85	3	0	0	2	0	87			0169-7722	1873-6009		WOS:000331507700005	24299661	
B	Tare, Arti V.; Joshi, Mandar M.; Vyawahare, Vishwesh A.			IEEE					Discrete Approximation Methods for Linear Fractional-order Systems: A Comparative Study								2014 INTERNATIONAL CONFERENCE ON CIRCUITS, SYSTEMS, COMMUNICATION AND INFORMATION TECHNOLOGY APPLICATIONS (CSCITA)								105	110						2014	2014						International Conference on Circuits, Systems, Communication and Information Technology Applications (CSCITA)International Conference on Circuits, Systems, Communication and Information Technology Applications (CSCITA)	APR 04-05, 2014APR 04-05, 2014		Mumbai, INDIAMumbai, INDIA	1	0	0		0	0	1					978-1-4799-2494-3	WOS:000357017100019		
J	Atangana, Abdon; Kilicman, Adem								On the Generalized Mass Transport Equation to the Concept of Variable Fractional Derivative								MATHEMATICAL PROBLEMS IN ENGINEERING				2014						542809	10.1155/2014/542809				2014	2014										6	1	0	0	0	0	6			1024-123X	1563-5147		WOS:000332898100001		
J	Chi, Chunmei; Gao, Feng								Palm Print Edge Extraction Using Fractional Differential Algorithm								JOURNAL OF APPLIED MATHEMATICS										896938	10.1155/2014/896938				2014	2014										5	0	0	0	0	0	5			1110-757X	1687-0042		WOS:000334749800001		
J	Liu, Xiaojun; Hong, Ling; Yang, Lixin								Hopf Bifurcations of a Stochastic Fractional-Order Van der Pol System								ABSTRACT AND APPLIED ANALYSIS										835482	10.1155/2014/835482				2014	2014										0	0	0	0	0	0	0			1085-3375	1687-0409		WOS:000337820900001		
J	Chen, Yiming; Liu, Liqing; Li, Xuan; Sun, Yannan								Numerical Solution for the Variable Order Time Fractional Diffusion Equation with Bernstein Polynomials								CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES				97	1			81	100						JAN 2014	2014										12	0	0	0	0	0	12			1526-1492	1526-1506		WOS:000337933400004		
J	Wu, Rifang; Ding, Hengfei; Li, Changpin				Li, Changpin/G-6414-2011; Ding, Hengfei/A-7501-2015	Ding, Hengfei/0000-0003-4044-6499			Determination of Coefficients of High-Order Schemes for Riemann-Liouville Derivative								SCIENTIFIC WORLD JOURNAL										402373	10.1155/2014/402373				2014	2014										5	0	0	0	0	0	5			1537-744X			WOS:000335026800001	24883394	
S	Zhao, Yang; Li, Yan; Chen, YangQuan				Chen, YangQuan/A-2301-2008	Chen, YangQuan/0000-0002-7422-5988	Baleanu, D; Machado, JAT		Complete Parametric Identification of Fractional Order Hammerstein Systems								2014 INTERNATIONAL CONFERENCE ON FRACTIONAL DIFFERENTIATION AND ITS APPLICATIONS (ICFDA)		International Conference on Fractional Differentiation and Its Applications													2014	2014						International Conference on Fractional Differentiation and its Applications (ICFDA)International Conference on Fractional Differentiation and its Applications (ICFDA)	JUN 23-25, 2014JUN 23-25, 2014	Univ Studi Catania; Home Ind & Bldg Automat Syst; Schneider Elect; IEEE Italian Chapters; IEEE Instrumentat & Measurement Soc; Nucl & Plasma Sci Soc; IEEE Control Syst Soc; Circuits & Syst SocUniv Studi Catania; Home Ind & Bldg Automat Syst; Schneider Elect; IEEE Italian Chapters; IEEE Instrumentat & Measurement Soc; Nucl & Plasma Sci Soc; IEEE Control Syst Soc; Circuits & Syst Soc	Catania, ITALYCatania, ITALY	2	0	0	0	0	0	2			2471-612X		978-1-4799-2591-9	WOS:000411493600062		
J	Fernandez-Anaya, Guillermo; Flores-Godoy, Jose-Job; Lugo-Penaloza, Armando-Fabian; Munoz-Vega, Rodrigo				Flores-Godoy, Jose-Job/R-7648-2019; Flores-Godoy, Jose-Job/AAI-1535-2020; Fernandez-Anaya, Guillermo/AAH-1807-2020	Flores-Godoy, Jose-Job/0000-0003-0569-0162; Fernandez-Anaya, Guillermo/0000-0002-9695-3409; Munoz Vega, Rodrigo/0000-0002-4755-6722			Stabilization and passification of distributed-order fractional linear systems using methods of preservation								JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS				350	10			2881	2900		10.1016/j.jfranklin.2013.03.005				DEC 2013	2013										1	0	0	0	0	0	1			0016-0032	1879-2693		WOS:000327909800004		
J	Zhang, Shuqin								Existence result of solutions to differential equations of variable-order with nonlinear boundary value conditions								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				18	12			3289	3297		10.1016/j.cnsns.2013.05.003				DEC 2013	2013										17	0	0	0	0	0	17			1007-5704	1878-7274		WOS:000321351300003		
J	Zhang, Shuqin								EXISTENCE OF SOLUTIONS FOR TWO-POINT BOUNDARY-VALUE PROBLEMS WITH SINGULAR DIFFERENTIAL EQUATIONS OF VARIABLE ORDER								ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS								1	16	245					NOV 12 2013	2013										3	1	0	0	1	0	4			1072-6691			WOS:000328075400001		
J	Zhang, Hongmei; Shen, Shujun								The Numerical Simulation of Space-Time Variable Fractional Order Diffusion Equations								NUMERICAL MATHEMATICS-THEORY METHODS AND APPLICATIONS				6	4			571	585		10.4208/nmtma.2013.y12107				NOV 2013	2013										4	1	0	0	0	0	4			1004-8979	2079-7338		WOS:000328248400001		
J	Yin, Deshun; Duan, Xiaomeng; Zhou, Xuanji								Fractional time-dependent deformation component models for characterizing viscoelastic Poisson's ratio								EUROPEAN JOURNAL OF MECHANICS A-SOLIDS				42				422	429		10.1016/j.euromechsol.2013.07.010				NOV-DEC 2013	2013										17	1	0	0	0	0	17			0997-7538	1873-7285		WOS:000326210700039		
J	Dadras, Sara; Momeni, Hamid Reza								Passivity-based fractional-order integral sliding-mode control design for uncertain fractional-order nonlinear systems								MECHATRONICS				23	7	SI		880	887		10.1016/j.mechatronics.2013.05.009				OCT 2013	2013										24	2	0	0	2	0	25			0957-4158			WOS:000327110400019		
J	Hejazi, Hala; Moroney, Timothy; Liu, Fawang				Liu, Fawang/G-3456-2010	Liu, Fawang/0000-0003-1034-2349; Moroney, Timothy/0000-0003-4008-1506			A finite volume method for solving the two-sided time-space fractional advection-dispersion equation								CENTRAL EUROPEAN JOURNAL OF PHYSICS				11	10			1275	1283		10.2478/s11534-013-0317-y				OCT 2013	2013										16	1	0	0	0	0	16			1895-1082	1644-3608		WOS:000328854500013		
J	Atanackovic, Teodor M.; Janev, Marko; Pilipovic, Stevan; Zorica, Dusan				Zorica, Dusan/F-2931-2011	Zorica, Dusan/0000-0002-9117-8589; pilipovic, stevan/0000-0002-5443-4467			An expansion formula for fractional derivatives of variable order								CENTRAL EUROPEAN JOURNAL OF PHYSICS				11	10			1350	1360		10.2478/s11534-013-0243-z				OCT 2013	2013										12	0	0	0	0	0	12			1895-1082	1644-3608		WOS:000328854500019		
J	Wang, Yi-Hong; Wu, Guo-Cheng; Baleanu, Dumitru				Wu, Guo-Cheng/T-9088-2017	Wu, Guo-Cheng/0000-0002-1946-6770			Variational iteration method - a promising technique for constructing equivalent integral equations of fractional order								CENTRAL EUROPEAN JOURNAL OF PHYSICS				11	10			1392	1398		10.2478/s11534-013-0207-3				OCT 2013	2013										4	0	0	0	0	0	4			1895-1082	1644-3608		WOS:000328854500025		
J	Bhalekar, Sachin				Bhalekar, S. B./D-7628-2011; Bhalekar, Sachin/N-7445-2019	Bhalekar, S. B./0000-0003-1981-8171; Bhalekar, Sachin/0000-0003-1981-8171			Dynamics analysis of fractional order Yu-Wang system								CENTRAL EUROPEAN JOURNAL OF PHYSICS				11	10			1514	1522		10.2478/s11534-013-0307-0				OCT 2013	2013										1	0	0	0	0	0	1			1895-1082	1644-3608		WOS:000328854500038		
J	Chen, Chang-Ming; Liu, F.; Burrage, K.; Chen, Y.				Liu, Fawang/G-3456-2010	Liu, Fawang/0000-0003-1034-2349; Burrage, Kevin/0000-0002-8111-1137			Numerical methods of the variable-order Rayleigh-Stokes problem for a heated generalized second grade fluid with fractional derivative								IMA JOURNAL OF APPLIED MATHEMATICS				78	5			924	944		10.1093/imamat/hxr079				OCT 2013	2013										9	1	0	0	0	0	9			0272-4960			WOS:000325163500003		
J	Yin, Deshun; Wang, Yixin; Li, Yanqing; Cheng, Chen								Variable-order fractional mean square displacement function with evolution of diffusibility								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				392	19			4571	4575		10.1016/j.physa.2013.06.008				OCT 1 2013	2013										3	0	0	0	0	0	3			0378-4371	1873-2119		WOS:000322750200037		
J	Zhang, H.; Liu, F.; Phanikumar, Mantha S.; Meerschaert, Mark M.				Liu, Fawang/G-3456-2010; Phanikumar, Mantha S/A-2523-2008	Liu, Fawang/0000-0003-1034-2349; 			A novel numerical method for the time variable fractional order mobile-immobile advection-dispersion model								COMPUTERS & MATHEMATICS WITH APPLICATIONS				66	5			693	701		10.1016/j.camwa.2013.01.031				SEP 2013	2013										94	0	0	0	1	0	93			0898-1221	1873-7668		WOS:000323869000014		
J	Ansari, Alireza; Moradi, Mohammad								Exact solutions to some models of distributed-order time fractional diffusion equations via the Fox H functions								SCIENCEASIA				39				57	66		10.2306/scienceasia1513-1874.2013.39S.057			1	JUL 2013	2013										4	0	0	0	0	0	4			1513-1874			WOS:000333074600011		
J	Wang, Zhen; Huang, Xia; Zhou, Jianping				Wang, Zhen/AAF-8133-2019; Zhou, Jianping/G-9007-2011	Wang, Zhen/0000-0001-7188-5828; Zhou, Jianping/0000-0002-7024-1227			A Numerical Method for Delayed Fractional-Order Differential Equations: Based on G-L Definition								APPLIED MATHEMATICS & INFORMATION SCIENCES				7	2	SI		525	529		10.12785/amis/072L22				JUN 2013	2013										80	1	0	0	4	0	81			1935-0090	2325-0399		WOS:000326144500022		
J	Xu, Yufeng; He, Zhimin								Synchronization of variable-order fractional financial system via active control method								CENTRAL EUROPEAN JOURNAL OF PHYSICS				11	6			824	835		10.2478/s11534-013-0237-x				JUN 2013	2013										25	1	0	0	0	0	26			1895-1082	1644-3608		WOS:000325433300020		
J	Faraji, Salman; Tavazoei, Mohammad Saleh								The effect of fractionality nature in differences between computer simulation and experimental results of a chaotic circuit								CENTRAL EUROPEAN JOURNAL OF PHYSICS				11	6			836	844		10.2478/s11534-013-0255-8				JUN 2013	2013										11	0	0	0	0	0	11			1895-1082	1644-3608		WOS:000325433300021		
J	Sun, HongGuang; Chen, Wen; Sze, K. Y.				Sun, HongGuang/A-9385-2010; Heisenberg, X/K-9096-2015; Chen, Wen/A-7797-2008; Sze, Kam Yim/C-1582-2009	Sun, HongGuang/0000-0002-5517-5057; Chen, Wen/0000-0001-5678-4949; Sze, Kam Yim/0000-0002-2535-5348			A semi-discrete finite element method for a class of time-fractional diffusion equations								PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES				371	1990	SI				20120268	10.1098/rsta.2012.0268				MAY 13 2013	2013										21	1	0	0	1	0	22			1364-503X	1471-2962		WOS:000316942100013	23547234	
J	Zhou, Fengyu; Zhao, Yang; Li, Yan; Chen, YangQuan				Chen, YangQuan/A-2301-2008	Chen, YangQuan/0000-0002-7422-5988			Design, implementation and application of distributed order PI control								ISA TRANSACTIONS				52	3			429	437		10.1016/j.isatra.2012.12.004				MAY 2013	2013										21	0	0	0	0	0	21			0019-0578	1879-2022		WOS:000319032900014	23352092	
J	Valerio, Duarte; da Costa, Jose Sa				Valerio, Duarte/C-9339-2012; da Costa, Jose M G Sa/N-6961-2013	Valerio, Duarte/0000-0001-9388-4308; da Costa, Jose M G Sa/0000-0001-9773-9896			Variable Order Fractional Controllers								ASIAN JOURNAL OF CONTROL				15	3	SI		648	657		10.1002/asjc.639				MAY 2013	2013										20	0	0	0	0	0	20			1561-8625	1934-6093		WOS:000318620500003		
J	Tabatabaei, Mohammad; Haeri, Mohammad				Haeri, Mohammad/Q-1391-2015	Haeri, Mohammad/0000-0001-8509-4525			Characteristic ratio assignment in fractional order systems (case 0 < v <= 0: 5)								TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL				35	3			360	374		10.1177/0142331212451990				MAY 2013	2013										7	0	0	0	0	0	7			0142-3312	1477-0369		WOS:000319604200012		
J	Zhou, Shengxi; Cao, Junyi; Chen, Yangquan				Cao, Junyi/H-1528-2016; Zhou, Shengxi/N-4407-2017; Chen, YangQuan/A-2301-2008; Cao, Junyi/AAN-9500-2020	Chen, YangQuan/0000-0002-7422-5988; Cao, Junyi/0000-0002-5025-7838			Genetic Algorithm-Based Identification of Fractional-Order Systems								ENTROPY				15	5			1624	1642		10.3390/e15051624				MAY 2013	2013										35	1	0	0	0	1	35				1099-4300		WOS:000319442800009		
J	El Abd, A.; Abdel-Monem, A. M.; Kansouh, W. A.					elabd, A/0000-0003-2037-1266			Experimental determination of moisture distributions in fired clay brick using a Cf-252 source: A neutron transmission study								APPLIED RADIATION AND ISOTOPES				74				78	85		10.1016/j.apradiso.2013.01.007				APR 2013	2013										5	0	0	0	0	0	5			0969-8043			WOS:000316978400014	23410613	
J	Sun Hong-Guang; Sheng Hu; Chen Yang-Quan; Chen Wen; Yu Zhong-Bo				Heisenberg, X/K-9096-2015; Chen, YangQuan/A-2301-2008; Sun, HongGuang/A-9385-2010	Chen, YangQuan/0000-0002-7422-5988; Sun, HongGuang/0000-0002-5517-5057			A Dynamic-Order Fractional Dynamic System								CHINESE PHYSICS LETTERS				30	4					046601	10.1088/0256-307X/30/4/046601				APR 2013	2013										10	4	0	0	0	0	11			0256-307X	1741-3540		WOS:000317567000040		
J	Atangana, Abdon; Botha, Joseph Francois								A generalized groundwater flow equation using the concept of variable-order derivative								BOUNDARY VALUE PROBLEMS										53	10.1186/1687-2770-2013-53				MAR 14 2013	2013										51	0	0	0	2	0	51			1687-2770			WOS:000325722400001		
J	Chen, Wen; Zhang, Jianjun; Zhang, Jinyang				Chen, Wen/A-7797-2008; Heisenberg, X/K-9096-2015	Chen, Wen/0000-0001-5678-4949; 			A variable-order time-fractional derivative model for chloride ions sub-diffusion in concrete structures								FRACTIONAL CALCULUS AND APPLIED ANALYSIS				16	1	SI		76	92		10.2478/s13540-013-0006-y				MAR 2013	2013										63	9	0	0	1	0	67			1311-0454	1314-2224		WOS:000312773900005		
J	Yin, Chun; Dadras, Sara; Zhong, Shou-ming; Chen, YangQuan				Chen, YangQuan/A-2301-2008	Chen, YangQuan/0000-0002-7422-5988			Control of a novel class of fractional-order chaotic systems via adaptive sliding mode control approach								APPLIED MATHEMATICAL MODELLING				37	4			2469	2483		10.1016/j.apm.2012.06.002				FEB 15 2013	2013										112	5	0	0	5	0	114			0307-904X			WOS:000313763800069		
J								Yin Deshun; Li Yanqing; Wu Hao; Duan Xiaomeng	Fractional description of mechanical property evolution of soft soils during creep							水科学与水工程	Water Science and Engineering				6	4			446	455	1674-2370(2013)6:4<446:FDOMPE>2.0.TX;2-Y					2013	2013										21	10	0	0	1	0	26			1674-2370			CSCD:4975344		
J	Wang Zhen; Huang Xia; Li Yu-Xia; Song Xiao-Na				Wang, Zhen/AAF-8133-2019	Wang, Zhen/0000-0001-7188-5828			A new image encryption algorithm based on the fractional-order hyperchaotic Lorenz system								CHINESE PHYSICS B				22	1					010504	10.1088/1674-1056/22/1/010504				JAN 2013	2013										34	31	0	0	4	0	48			1674-1056	1741-4199		WOS:000314815200016		
J	Atangana, Abdon; Kilicman, Adem					ATANGANA, ABDON/0000-0002-1886-3125			A Possible Generalization of Acoustic Wave Equation Using the Concept of Perturbed Derivative Order								MATHEMATICAL PROBLEMS IN ENGINEERING				2013						696597	10.1155/2013/696597				2013	2013										13	0	0	0	1	0	13			1024-123X	1563-5147		WOS:000317765400001		
J	Ma Weiyuan; Zhang Haidong; Shao Yabin							马维元; 张海东; 邵亚斌	Fully implicit finite difference scheme for the variable-order nonlinear fractional diffusion equation			非线性变阶分数阶扩散方程的全隐差分格式				山东大学学报. 理学版	Journal of Shangdong University				48	2			93	97	1671-9352(2013)48:2<93:FXXBJF>2.0.TX;2-V					2013	2013										0	0	0		0	0	0			1671-9352			CSCD:4800249		
J	Atangana, Abdon; Cloot, Alain H.					ATANGANA, ABDON/0000-0002-1886-3125			Stability and convergence of the space fractional variable-order Schrodinger equation								ADVANCES IN DIFFERENCE EQUATIONS										80	10.1186/1687-1847-2013-80				2013	2013										17	0	0	0	0	0	17			1687-1847			WOS:000318300800001		
J	Atangana, Abdon; Secer, Aydin				SECER, AYDIN/C-5913-2013	SECER, AYDIN/0000-0002-8372-2441			A Note on Fractional Order Derivatives and Table of Fractional Derivatives of Some Special Functions								ABSTRACT AND APPLIED ANALYSIS										279681	10.1155/2013/279681				2013	2013										57	0	0	0	3	1	57			1085-3375	1687-0409		WOS:000317517400001		
J	Atangana, Abdon; Ahmed, O. Aden; Bildik, Necdet					ATANGANA, ABDON/0000-0002-1886-3125			A Generalized Version of a Low Velocity Impact between a Rigid Sphere and a Transversely Isotropic Strain-Hardening Plate Supported by a Rigid Substrate Using the Concept of Noninteger Derivatives								ABSTRACT AND APPLIED ANALYSIS										671321	10.1155/2013/671321				2013	2013										8	0	0	0	1	0	8			1085-3375	1687-0409		WOS:000317517500001		
J	Stanislawski, Rafal; Latawiec, Krzysztof J.				Stanislawski, Rafal/L-1606-2019	Stanislawski, Rafal/0000-0002-6014-3682			NORMALIZED FINITE FRACTIONAL DIFFERENCES: COMPUTATIONAL AND ACCURACY BREAKTHROUGHS								INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS AND COMPUTER SCIENCE				22	4			907	919		10.2478/v10006-012-0067-9				DEC 2012	2012										35	0	0	0	0	0	35			1641-876X			WOS:000312723300010		
J	Atanackovic, Teodor; Konjik, Sanja; Oparnica, Ljubica; Zorica, Dusan				Zorica, Dusan/F-2931-2011	Zorica, Dusan/0000-0002-9117-8589; Oparnica, Ljubica/0000-0001-8547-339X			The Cattaneo type space-time fractional heat conduction equation								CONTINUUM MECHANICS AND THERMODYNAMICS				24	4-6	SI		293	311		10.1007/s00161-011-0199-4				NOV 2012	2012										16	1	0	0	0	0	16			0935-1175			WOS:000310325400003		
